Symbol,Sector Score,Cap Score
JKCEMENT,10.0,10.0
JKIL,5.4,5.4
JKLAKSHMI,4.5,10.0
JKPAPER,10.0,10.0
JKTYRE,6.6,6.7
JLHL,7.6,7.7
JMA,5.5,5.8
JMFINANCIL,4.2,4.5
JSL,8.5,8.5
JSLL,6.3,6.5
JSWENERGY,6.3,7.2
JSWINFRA,9.3,9.3
JTEKTINDIA,4.9,4.9
JUBLCPL,5.4,5.9
JUBLFOOD,5.3,6.4
JUSTDIAL,5.5,6.7
JWL,4.9,4.9
JYOTHYLAB,7.8,8.0
JYOTICNC,6.6,6.7
KAJARIACER,5.8,6.5
KALYANKJIL,7.9,8.5
KAMATHOTEL,6.1,6.9
KAMDHENU,4.1,4.5
KANSAINER,7.3,8.2
KCP,9.1,10.0
KDDL,7.6,7.6
KEC,4.9,5.2
KEI,7.7,7.7
KELLTONTEC,4.7,4.7
KIMS,8.5,10.0
KIRLOSBROS,7.4,7.5
KIRLPNU,8.0,8.1
KKCL,10.0,10.0
KNRCON,9.0,9.0
KOTAKBANK,7.0,7.0
KOTHARIPET,4.0,4.9
KPEL,10.0,10.0
KPIL,5.6,5.9
KPITTECH,7.8,8.5
KPRMILL,9.0,10.0
KRBL,4.5,4.6
KRITINUT,5.2,6.0
KRN,5.9,6.0
KRSNAA,5.3,5.3
KRYSTAL,4.9,5.3
KSB,8.8,8.9
KSL,6.3,6.3
KSOLVES,9.5,9.5
LALPATHLAB,8.2,9.6
LATENTVIEW,9.2,10.0
LAURUSLABS,5.7,6.6
LAXMIDENTL,4.0,7.3
LEMONTREE,5.6,5.6
LGBBROSLTD,8.3,8.4
LICHSGFIN,5.5,5.5
LICI,8.2,8.2
LIKHITHA,6.3,8.0
LINC,4.9,5.6
LINCOLN,6.4,6.4
LINDEINDIA,6.4,6.4
LLOYDSME,10.0,10.0
LODHA,7.2,8.7
LTF,4.4,4.4
LTFOODS,8.6,8.7
LTTS,7.2,7.7
LUMAXIND,7.6,7.6
LUMAXTECH,9.6,9.8
LUPIN,5.1,5.9
LUXIND,5.6,5.6
M&MFIN,4.6,4.6
MAHSEAMLES,8.5,8.6
MAITHANALL,7.0,10.0
MALLCOM,8.0,8.8
MAMATA,9.0,9.9
MANAPPURAM,3.7,3.7
MANINFRA,7.5,7.5
MANKIND,7.1,8.3
MANYAVAR,7.8,7.8
MAPMYINDIA,8.3,9.0
MARICO,7.3,7.3
MARINE,7.7,7.7
MARKSANS,8.0,8.1
MARUTI,8.7,8.9
MASFIN,7.1,7.6
MASTEK,7.7,8.3
MASTERTR,8.5,9.4
MATRIMONY,4.7,5.3
MAXHEALTH,8.2,9.6
MAYURUNIQ,8.7,8.7
MAZDOCK,9.1,9.1
MCLOUD,8.5,9.2
MEDANTA,7.5,8.8
MEDIASSIST,7.0,7.6
MEDPLUS,6.6,6.6
MENONBE,9.6,10.0
METROBRAND,9.2,9.9
METROPOLIS,5.4,5.5
MFSL,4.4,4.4
MGL,5.3,5.3
