Symbol,Sector,Industry,Broad Sector,TTM Revenue,Revenue CAGR 5Y,Revenue CAGR 10Y,Revenue CAGR Max,Revenue CAGR Years,TTM Profit,Profit CAGR 5Y,Profit CAGR 10Y,Profit CAGR Max,Profit CAGR Years,Avg OPM 5Y,Avg OPM 10Y,Revenue YoY Q,Revenue Consecutive YoY,Revenue Accelerating,Profit YoY Q,Profit Positive Q,Total Quarters,Latest OPM Q,Avg OPM 4Q,Margin Improving,Latest EPS Q,EPS YoY Growth,Latest Debt,Debt Reducing,Latest Equity,Debt to Equity,ROE,Latest Operating CF,CF Positive Years,CF Total Years,CF Growing,CF Consistency,Latest ROCE,ROCE Improving,Avg ROCE 5Y,Final ROE,Promoter Holding,Promoter Change 4Q,Promoter Change 8Q,FII Holding,FII Change 4Q,DII Holding,DII Change 4Q,ROE from Ratios,ROE Avg 5Y,ROE Improving
ADANIENT,Metals & Mining,Trading - Minerals,Commodities,97895.0,17.67,4.27,5.39,11.0,8005.0,50.41,13.29,10.59,11.0,9.0,7.1,8.63,1.0,True,2400.87,13.0,13.0,15.0,15.0,True,43.53,9573.33,109465.0,False,54056.0,2.03,14.81,4513.0,12.0,12.0,False,100.0,9.0,False,8.6,14.81,73.97,0.0,1.36,11.64,-0.08,6.71,0.1,,,
ADANIGREEN,Power,Power Generation,Utilities,11212.0,34.48,,94.61,9.0,2001.0,,,,9.0,72.6,67.9,11.88,4.0,True,-98.95,13.0,13.0,85.6,82.52,True,-0.25,-108.04,88153.0,False,19524.0,4.52,10.25,8364.0,9.0,9.0,True,100.0,9.0,True,9.0,10.25,62.44,1.51,6.07,11.42,-2.26,4.31,2.58,,,
ADANIPORTS,Services,Port & Port services,Services,30475.0,20.75,17.35,18.23,11.0,11061.0,23.92,16.88,18.3,11.0,59.0,59.6,21.86,4.0,False,20.85,13.0,13.0,60.0,59.25,True,13.25,13.54,56851.0,False,67078.0,0.85,16.49,17226.0,12.0,12.0,True,100.0,14.0,True,12.4,16.49,68.02,2.13,2.13,13.1,-0.84,13.89,-0.31,,,
ADANIPOWER,Power,Integrated Power Utilities,Utilities,56203.0,16.25,11.64,12.54,11.0,12750.0,,,,11.0,33.8,30.0,-8.92,0.0,False,-15.37,13.0,13.0,34.0,36.5,False,1.29,-18.87,48464.0,False,58451.0,0.83,21.81,21501.0,12.0,12.0,True,100.0,23.0,True,19.8,21.81,74.96,0.0,3.21,11.64,-0.7,3.41,1.81,,,
ADFFOODS,Fast Moving Consumer Goods,Packaged Foods,Fast Moving Consumer Goods,590.0,15.66,11.2,9.94,11.0,69.0,9.92,22.59,26.95,11.0,17.8,15.1,29.93,4.0,True,15.79,13.0,13.0,19.0,18.75,True,2.04,19.3,12.0,True,529.0,0.02,13.04,37.0,12.0,12.0,False,100.0,17.0,False,20.0,13.04,36.14,0.0,-0.14,11.31,1.25,23.11,-0.54,,,
ADOR,Capital Goods,Other Industrial Products,Industrials,1123.0,16.96,11.71,10.76,11.0,60.0,19.14,,12.15,11.0,8.4,8.3,5.11,2.0,True,80.0,12.0,13.0,12.0,8.0,True,15.35,73.45,2.0,True,492.0,0.0,12.2,137.0,10.0,12.0,True,83.3,20.0,True,14.4,12.2,53.74,0.5,-3.16,0.14,0.08,12.56,2.25,,,
ADSL,Information Technology,IT Enabled Services,Information Technology,807.0,19.58,13.18,10.62,11.0,32.0,10.99,,12.22,11.0,11.8,14.7,11.76,4.0,False,-22.22,11.0,13.0,11.0,6.0,True,2.46,-21.9,117.0,False,608.0,0.19,5.26,92.0,11.0,12.0,True,91.7,11.0,False,9.6,5.26,51.07,-0.26,-1.19,0.79,-0.88,0.0,0.0,,,
ADVANIHOTR,Consumer Services,Hotels & Resorts,Consumer Discretionary,32.0,,,-11.0,4.0,-15.0,,,,4.0,11.0,11.0,-47.61,0.0,False,-89.22,12.0,13.0,8.82,-0.19,False,0.22,-75.56,34.0,False,25.0,1.36,-60.0,-6.0,3.0,5.0,False,60.0,-13.0,False,21.0,-60.0,50.24,-0.01,-0.01,0.2,0.0,0.05,-0.05,,,
ADVENZYMES,Healthcare,Biotechnology,Healthcare,637.0,7.49,11.12,9.32,11.0,134.0,0.15,10.14,18.35,11.0,35.4,40.2,1.78,4.0,False,10.26,13.0,13.0,29.0,29.75,True,3.8,12.76,35.0,True,1484.0,0.02,9.03,142.0,12.0,12.0,True,100.0,13.0,True,15.6,9.03,43.04,0.12,-0.58,25.85,13.28,5.51,-2.66,,,
AEGISLOG,"Oil, Gas & Consumable Fuels",Trading - Gas,Energy,6764.0,-1.19,5.62,2.73,11.0,787.0,42.49,21.53,24.77,11.0,11.8,8.9,1.05,3.0,False,45.63,13.0,13.0,17.0,17.0,False,5.04,42.37,2439.0,True,5941.0,0.41,13.25,558.0,12.0,12.0,True,100.0,13.0,False,15.2,13.25,58.1,0.0,0.0,17.87,-0.35,5.41,-1.28,,,
