Symbol,Exchange,Ticker,passed,fail_reason,Price,Avg_Daily_Value_L,Market_Cap_Cr,Data_Rows
DENISCHEM,BSE,DENISCHEM.BO,False,Daily value Rs 3.5L < Rs 10L,68.91,3.49,,305.0
POLYMAC,BSE,POLYMAC.BO,False,Daily value Rs 0.1L < Rs 10L,16.6,0.06,,2971.0
UNISHIRE,BSE,UNISHIRE.BO,False,Price Rs 1.3 < Rs 5,1.33,0.76,,191.0
LAXMIPATI,BSE,LAXMIPATI.BO,False,Daily value Rs 3.5L < Rs 10L,250.0,3.52,,2966.0
LADDU,BSE,LADDU.BO,False,Price Rs 0.9 < Rs 5,0.89,4.32,,1374.0
NIFTY1,BSE,NIFTY1.BO,False,No data,,,,
HANSUGAR,BSE,HANSUGAR.BO,False,Price Rs 4.2 < Rs 5,4.23,0.44,,305.0
KIRANVYPAR,BSE,KIRANVYPAR.BO,False,Daily value Rs 5.3L < Rs 10L,170.8,5.26,,305.0
BCP,BSE,BCP.BO,False,Price Rs 1.6 < Rs 5,1.64,1.48,,264.0
KCSL,BSE,KCSL.BO,False,Daily value Rs 0.0L < Rs 10L,9.32,0.0,,2932.0
MANGIND,BSE,MANGIND.BO,False,Price Rs 0.8 < Rs 5,0.84,114.67,,305.0
VIJIFIN,BSE,VIJIFIN.BO,False,Price Rs 2.9 < Rs 5,2.87,3.27,,2598.0
PHOENIXTN,BSE,PHOENIXTN.BO,False,Daily value Rs 6.8L < Rs 10L,83.65,6.79,,305.0
RAUNAQ,BSE,RAUNAQ.BO,False,Daily value Rs 0.3L < Rs 10L,48.65,0.26,,2211.0
INFRONICS,BSE,INFRONICS.BO,False,Daily value Rs 0.8L < Rs 10L,19.23,0.77,,305.0
CPSEETF,BSE,CPSEETF.BO,True,,101.83,151.86,,2944.0
HARIAAPL,BSE,HARIAAPL.BO,False,Daily value Rs 0.3L < Rs 10L,5.49,0.27,,305.0
VASUPRADA,BSE,VASUPRADA.BO,False,Daily value Rs 0.3L < Rs 10L,95.6,0.26,,3786.0
RNBDENIMS,BSE,RNBDENIMS.BO,True,,83.65,80.46,752.63,305.0
SHARPINV,BSE,SHARPINV.BO,False,Price Rs 0.4 < Rs 5,0.38,2.17,,305.0
RESPONSINF,BSE,RESPONSINF.BO,False,Daily value Rs 0.6L < Rs 10L,25.58,0.57,,292.0
GCMCAPI,BSE,GCMCAPI.BO,False,Price Rs 3.6 < Rs 5,3.63,0.15,,156.0
AFEL,BSE,AFEL.BO,False,Price Rs 2.0 < Rs 5,2.01,0.96,,217.0
WESTLEIRES,BSE,WESTLEIRES.BO,False,Daily value Rs 0.2L < Rs 10L,83.32,0.23,,1089.0
NAM,BSE,NAM.BO,False,Daily value Rs 0.2L < Rs 10L,92.29,0.19,,237.0
METSL,BSE,METSL.BO,False,Daily value Rs 8.3L < Rs 10L,134.25,8.27,,305.0
JACKSON,BSE,JACKSON.BO,False,Price Rs 0.4 < Rs 5,0.43,1.64,,305.0
WORTH,BSE,WORTH.BO,False,Price Rs 2.7 < Rs 5,2.7,7.03,,305.0
TPROJECT,BSE,TPROJECT.BO,False,Price Rs 4.0 < Rs 5,3.96,0.72,,305.0
AMARSEC,BSE,AMARSEC.BO,False,Daily value Rs 1.4L < Rs 10L,12.14,1.38,,303.0
CTL,BSE,CTL.BO,False,Daily value Rs 7.1L < Rs 10L,15.7,7.06,,2880.0
TARINI,BSE,TARINI.BO,False,Daily value Rs 1.4L < Rs 10L,6.99,1.38,,159.0
SBL,BSE,SBL.BO,False,Price Rs 2.0 < Rs 5,1.97,0.93,,173.0
YAANENT,BSE,YAANENT.BO,False,Daily value Rs 1.4L < Rs 10L,92.5,1.44,,2296.0
ANVRDHI,BSE,ANVRDHI.BO,False,Daily value Rs 8.7L < Rs 10L,12.35,8.72,,305.0
RLFL,BSE,RLFL.BO,False,Daily value Rs 9.3L < Rs 10L,9.29,9.34,,305.0
BRPL,BSE,BRPL.BO,True,,109.75,10.25,144.69,305.0
ARMAN,BSE,ARMAN.BO,True,,105.6,20.88,55.02,224.0
SMTEL,BSE,SMTEL.BO,False,Daily value Rs 2.8L < Rs 10L,432.05,2.79,,160.0
JAMESWARREN,BSE,JAMESWARREN.BO,False,Daily value Rs 4.4L < Rs 10L,289.45,4.39,,305.0
VISTARAMAR,BSE,VISTARAMAR.BO,True,,190.85,22.85,109.93,305.0
