Symbol,Sector,Industry,Broad Sector,Revenue CAGR 5Y,Revenue CAGR 10Y,Revenue CAGR Max,Revenue CAGR Years,Avg OPM 5Y,Avg OPM 10Y,Profit CAGR 5Y,Profit CAGR 10Y,Profit CAGR Max,Profit CAGR Years,TTM Revenue,Revenue YoY Q,Revenue Consecutive YoY,Revenue Accelerating,TTM Profit,Profit YoY Q,Profit Positive Q,Total Quarters,Latest OPM Q,Avg OPM 4Q,Margin Improving,Latest EPS Q,EPS YoY Growth,Latest Debt,Debt Reducing,Latest Equity,ROE,Debt to Equity,Latest Operating CF,CF Positive Years,CF Total Years,CF Growing,Latest ROCE,ROCE Improving,Avg ROCE 5Y,Promoter Holding,Promoter Change 4Q,Promoter Change 8Q,FII Holding,FII Change 4Q,DII Holding,DII Change 4Q,ROE from Ratios,ROE Avg 5Y,ROE Improving,Final ROE
CHOLAFIN,Financial Services,Non Banking Financial Company (NBFC),Financial Services,24.34,21.43,21.43,10.0,24.8,24.2,32.24,25.38,25.38,10,29702.0,17.3,4.0,False,4848.0,18.57,13,13,22.0,21.75,True,15.28,18.08,187663.0,False,25942.0,18.69,7.23,-32413.0,0,12,False,,,,49.72,-0.21,-0.65,26.56,-0.87,17.54,1.44,20.0,19.4,False,20.0
MUTHOOTFIN,Financial Services,Non Banking Financial Company (NBFC),Financial Services,15.86,16.64,16.64,10.0,41.4,40.1,11.05,23.06,23.06,10,27543.0,57.76,4.0,True,8653.0,102.8,13,13,47.0,41.5,True,69.84,101.85,123324.0,False,32818.0,26.37,3.76,-26525.0,1,11,False,,,,73.35,0.0,0.0,11.75,1.49,11.13,-1.86,20.0,21.4,False,20.0
MANAPPURAM,Financial Services,Non Banking Financial Company (NBFC),Financial Services,12.86,17.54,17.54,10.0,31.6,32.3,-4.04,16.08,16.08,10,9215.0,-8.09,0.0,False,385.0,-14.03,12,13,16.0,8.5,False,2.85,-14.41,38366.0,False,12712.0,3.03,3.02,-467.0,1,12,False,,,,35.25,0.0,0.05,28.78,1.77,11.15,3.27,10.0,18.2,False,10.0
IIFL,Financial Services,Non Banking Financial Company (NBFC),Financial Services,16.12,11.17,11.17,10.0,21.6,21.1,2.82,1.96,1.96,10,12276.0,40.28,3.0,True,1444.0,510.98,12,13,21.0,16.5,True,10.92,1037.5,58691.0,False,12970.0,11.13,4.53,-4781.0,3,12,False,,,,24.85,-0.05,0.05,27.77,-0.01,9.16,4.66,5.0,15.4,False,5.0
CREDITACC,Financial Services,Microfinance Institutions,Financial Services,27.55,,28.43,6.0,21.6,,9.65,,8.69,6,5868.0,7.97,2.0,True,485.0,,12,13,24.0,12.0,True,15.75,,20103.0,False,7164.0,6.77,2.81,1125.0,1,7,True,,,,66.28,-0.22,-0.38,11.68,1.92,13.23,-0.94,8.0,12.8,False,8.0
GARFIBRES,Textiles,Other Textile Products,Consumer Discretionary,10.07,7.01,7.01,10.0,19.8,18.4,10.47,18.36,18.36,10,1535.0,10.26,1.0,False,212.0,16.67,13,13,18.0,18.5,True,5.66,17.67,132.0,True,1298.0,16.33,0.1,195.0,12,12,True,25.0,True,23.2,53.36,0.36,0.66,9.07,-1.08,10.44,0.07,,,,16.33
SUPRAJIT,Automobile and Auto Components,Auto Components & Equipments,Consumer Discretionary,15.96,18.41,18.41,10.0,12.0,14.0,-0.98,7.07,7.07,10,3660.0,17.67,4.0,True,139.0,-60.61,12,13,10.0,10.0,False,0.91,-62.7,927.0,False,1364.0,10.19,0.68,185.0,12,12,True,11.0,False,14.4,45.14,0.5,0.51,6.79,-0.04,17.1,-0.14,,,,10.19
HIMATSEIDE,Textiles,Other Textile Products,Consumer Discretionary,3.33,3.64,3.64,10.0,16.0,17.3,42.36,-2.1,-2.1,10,2554.79,-11.59,0.0,False,72.5,-64.93,13,13,15.55,16.9,False,0.61,-64.94,2561.0,True,2105.0,3.44,1.22,235.0,12,12,True,9.0,False,7.4,37.48,0.24,-10.09,10.69,-1.37,7.12,-1.24,,,,3.44
IGPL,Chemicals,Commodity Chemicals,Commodities,15.81,,9.77,9.0,15.6,15.3,39.01,,6.86,9,1880.0,-16.67,0.0,False,-7.0,-137.93,9,13,2.0,4.0,False,-3.53,-138.08,402.0,False,1306.0,-0.54,0.31,261.0,10,10,True,11.0,False,19.8,68.74,0.0,0.0,2.88,0.09,1.2,-1.44,,,,-0.54
HAL,Capital Goods,Aerospace & Defense,Industrials,7.64,6.87,6.87,10.0,26.6,23.1,23.74,13.3,13.3,10,32847.0,10.67,3.0,False,8897.0,29.65,13,13,24.0,28.5,True,27.91,29.63,11.0,True,37114.0,23.97,0.0,13643.0,6,9,True,34.0,True,32.0,71.64,0.0,0.0,10.86,-1.4,9.68,1.55,,,,23.97
