Symbol,Group,Bottom_Rev_Prob,Top_Rev_Prob,Bottom_Rev_Flag,Top_Rev_Flag,Bullish_Cont_Prob,Bearish_Cont_Prob,Forecast_25d_Pct,Forecast_45d_Pct,Forecast_180d_Pct,Forecast_25d_Price,Forecast_45d_Price,Forecast_180d_Price,ML_Prediction,ML_Confidence
CELLO,Consumer,84.2,0.0,True,False,0.0,86.2,0.7,4.3,8.7,426.35,441.8,460.13,Bullish Continual,0.0
CENTRALBK,Financial,73.9,0.0,True,False,0.0,89.4,2.5,4.1,20.3,35.01,35.59,41.09,Bullish,73.9
CENTURYPLY,Consumer,77.0,0.0,True,False,0.0,87.8,0.7,1.8,10.4,655.26,662.45,718.28,Reversal,77.0
CERA,Consumer,75.2,0.0,True,False,0.0,89.3,-0.0,1.4,9.2,4751.44,4822.0,5190.84,Bullish Continual,0.0
CESC,Industrial,0.0,0.0,False,False,0.0,86.2,0.1,1.8,5.5,152.95,155.52,161.18,Bullish,0.0
CGPOWER,Industrial,0.0,0.0,False,False,0.0,0.0,0.8,2.2,11.3,687.08,696.77,758.56,Bullish,0.0
CHAMBLFERT,Chemicals,69.9,0.0,True,False,0.0,86.2,-0.6,1.3,8.6,425.85,434.02,465.51,No Signal,
CHEMBOND,Chemicals,77.9,0.0,True,False,0.0,87.4,-1.5,-1.0,3.3,124.4,125.02,130.46,No Signal,
CHOICEIN,Financial,80.4,0.0,True,False,0.0,86.1,2.5,4.1,20.3,629.98,640.4,739.49,Reversal,80.4
CHOLAFIN,Financial,63.0,0.0,True,False,0.0,0.3,2.5,4.1,20.3,1475.82,1500.23,1732.38,Reversal,63.0
CHOLAHLDNG,Financial,79.2,0.0,True,False,0.0,82.3,2.5,3.8,20.3,1442.12,1461.48,1692.81,Bullish,79.2
CIEINDIA,Industrial,0.0,0.0,False,False,74.2,0.0,1.0,3.1,16.0,465.69,475.27,534.75,Bullish Continual,74.2
CIGNITITEC,IT,74.3,0.0,True,False,0.0,71.6,4.8,8.4,16.1,1120.07,1158.41,1240.68,Reversal,74.3
CIPLA,Healthcare,71.1,0.0,True,False,0.0,85.5,0.3,0.5,5.9,1260.42,1262.27,1330.97,Bullish,71.1
COALINDIA,Industrial,0.0,68.1,False,True,77.3,0.0,1.4,2.9,16.8,474.77,481.93,546.91,Bullish Continual,77.3
COCHINSHIP,Industrial,78.1,0.0,True,False,0.0,85.8,-0.1,1.8,5.4,1340.01,1365.59,1414.11,Bearish,0.0
COFORGE,IT,73.3,0.0,True,False,0.0,68.1,5.3,7.6,14.8,1146.96,1172.61,1250.51,Reversal,73.3
COLPAL,Consumer,67.4,0.0,True,False,0.0,86.5,0.3,0.8,13.9,1901.76,1912.0,2159.19,Bullish,67.4
COMSYN,Industrial,75.6,0.0,True,False,0.3,0.0,3.3,6.6,20.5,158.4,163.49,184.84,Reversal,75.6
CONCOR,Industrial,74.2,0.0,True,False,0.0,85.5,0.1,0.6,4.7,447.65,450.11,468.38,Reversal,74.2
CONCORDBIO,Healthcare,0.1,0.0,False,False,0.0,82.9,6.1,5.7,16.2,1158.55,1154.67,1269.56,Bullish,0.1
CONTROLPR,IT,0.0,0.0,False,False,0.0,84.7,0.3,0.5,12.0,624.6,625.48,696.96,Reversal,0.0
COROMANDEL,Chemicals,68.2,0.0,True,False,0.0,87.5,-0.6,1.4,5.9,1900.24,1937.37,2024.34,Bearish,0.0
COSMOFIRST,Industrial,77.9,0.0,True,False,0.0,88.8,-0.8,0.8,8.5,619.24,629.24,677.69,Bearish,0.0
CREDITACC,Financial,73.7,0.0,True,False,0.0,88.5,2.5,4.1,20.3,1185.27,1204.87,1391.32,Reversal,73.7
CRISIL,Financial,68.6,0.0,True,False,0.0,77.8,2.5,4.1,20.3,4098.5,4166.28,4810.98,Reversal,68.6
CUMMINSIND,Industrial,0.0,0.0,False,False,0.0,0.0,2.3,4.3,15.9,4721.91,4814.14,5347.43,Bullish,0.0
CUPID,Consumer,0.0,0.0,False,False,0.1,0.0,-1.5,34.8,21.1,78.44,107.27,96.37,No Signal,
