Symbol,Group,Bottom_Rev_Prob,Top_Rev_Prob,Bottom_Rev_Flag,Top_Rev_Flag,Bullish_Cont_Prob,Bearish_Cont_Prob,Forecast_25d_Pct,Forecast_45d_Pct,Forecast_180d_Pct,Forecast_25d_Price,Forecast_45d_Price,Forecast_180d_Price,ML_Prediction,ML_Confidence
ENGINERSIN,Industrial,77.8,0.0,True,False,0.0,0.0,0.2,2.0,13.5,191.98,195.53,217.49,Bullish,77.8
EPIGRAL,Chemicals,79.4,0.0,True,False,0.0,81.1,6.8,7.5,19.5,903.41,908.98,1010.78,Reversal,79.4
ERIS,Healthcare,0.1,0.0,False,False,0.0,84.9,0.8,1.4,6.8,1294.89,1302.39,1371.93,Bullish,0.1
ESABINDIA,Industrial,0.0,0.0,False,False,0.0,0.1,1.0,1.6,9.7,5462.66,5492.14,5930.61,Reversal,0.0
ESCORTS,Industrial,77.3,0.0,True,False,0.0,84.1,-0.2,1.7,5.2,3052.67,3112.37,3218.83,No Signal,
EVEREADY,Consumer,78.3,0.0,True,False,0.0,90.0,0.3,1.8,10.9,301.6,306.07,333.56,Bullish,78.3
EXPLEOSOL,IT,76.2,0.0,True,False,0.0,77.7,2.3,2.5,11.5,736.94,738.16,803.32,Reversal,76.2
FCL,Chemicals,78.4,0.0,True,False,0.0,86.2,1.8,2.2,22.7,22.15,22.26,26.71,Reversal,78.4
FDC,Healthcare,84.7,0.0,True,False,0.0,83.2,2.4,3.1,10.3,340.79,343.18,367.01,Bullish,84.7
FIEMIND,Industrial,78.6,0.0,True,False,0.0,0.1,1.3,2.9,15.0,2053.78,2085.68,2330.28,Reversal,78.6
FILATEX,Industrial,82.7,0.0,True,False,0.0,87.5,1.6,3.7,13.9,41.33,42.2,46.33,Reversal,82.7
FINCABLES,Industrial,0.0,79.1,False,True,0.1,0.0,0.8,2.2,14.1,885.22,897.7,1001.9,Bullish Continual,0.1
FINEORG,Chemicals,59.9,0.0,False,False,0.0,0.2,0.5,2.1,8.2,4278.86,4345.98,4606.98,Reversal,59.9
FINPIPE,Industrial,71.3,0.0,True,False,0.0,0.0,0.0,1.0,7.6,174.68,176.4,187.83,Bullish,71.3
FIVESTAR,Financial,89.2,0.0,True,False,0.0,85.1,5.0,7.1,20.3,368.04,375.59,421.7,Reversal,89.2
FLAIR,Consumer,0.0,0.0,False,False,0.0,0.0,1.8,3.6,17.4,313.08,318.34,360.97,Bullish Continual,0.0
FLUOROCHEM,Chemicals,54.3,0.0,False,False,0.0,85.0,-0.7,1.6,5.0,3161.76,3233.96,3344.58,No Signal,
FMGOETZE,Industrial,81.3,0.0,True,False,0.0,87.1,0.9,2.5,7.9,385.6,391.65,412.18,Reversal,81.3
FOCUS,Consumer,0.0,0.0,False,False,0.0,90.0,1.5,1.9,9.9,67.57,67.85,73.12,Bullish,0.0
FORCEMOT,Industrial,80.1,0.0,True,False,78.1,0.0,3.2,4.4,17.8,22272.46,22528.02,25419.75,Bullish,80.1
FORTIS,Healthcare,79.1,0.0,True,False,0.0,0.3,1.3,2.2,5.9,833.11,840.2,870.56,Bullish,79.1
FSL,Industrial,89.8,0.0,True,False,0.0,78.3,6.2,11.1,10.5,230.52,240.97,239.76,Bullish,89.8
GABRIEL,Industrial,83.7,0.0,True,False,0.0,86.0,2.1,3.3,20.9,881.38,891.36,1043.61,Bullish,83.7
GAEL,Consumer,52.0,0.0,False,False,71.2,0.0,1.4,3.0,13.5,136.33,138.49,152.69,Bullish Continual,71.2
GAIL,Industrial,75.8,0.0,True,False,0.0,86.0,-0.5,1.8,7.1,142.22,145.4,152.98,Bearish,0.0
GALAXYSURF,Chemicals,77.5,0.0,True,False,0.0,84.0,-0.0,0.0,11.7,1640.79,1641.67,1833.72,Bullish,77.5
GALLANTT,Industrial,0.0,0.0,False,False,0.3,0.0,2.6,4.8,23.3,570.31,582.51,685.75,Bullish Continual,0.3
GANECOS,Industrial,0.0,80.2,False,True,0.0,87.0,1.1,3.0,13.6,814.37,829.74,914.97,Bullish Continual,0.0
GARFIBRES,Industrial,77.2,0.0,True,False,0.0,88.2,0.5,1.7,11.0,614.54,621.93,678.77,Bullish,77.2
GATEWAY,Industrial,76.3,0.0,True,False,0.0,87.1,-0.1,1.3,6.0,51.01,51.71,54.11,No Signal,
GENESYS,IT,91.6,0.0,True,False,0.0,78.0,10.1,16.5,100.5,296.82,314.24,540.75,Reversal,91.6
GENUSPOWER,Industrial,79.9,0.0,True,False,0.0,87.9,-0.3,0.8,7.1,238.47,241.1,256.09,Bearish,0.0
GESHIP,Industrial,0.0,71.5,False,True,79.7,0.0,3.3,5.9,21.0,1477.29,1513.79,1730.48,Bullish Continual,79.7
GICRE,Financial,0.0,0.0,False,False,0.0,0.2,2.5,4.1,20.3,381.28,387.58,447.56,Bullish,0.0
GIPCL,Industrial,0.0,0.0,False,False,0.0,86.2,1.0,2.1,10.5,134.21,135.62,146.83,Reversal,0.0
GLAND,Healthcare,73.1,0.0,True,False,0.0,0.2,-0.6,1.0,-0.7,1617.51,1642.84,1616.11,No Signal,
GLAXO,Healthcare,73.3,0.0,True,False,0.0,0.2,-0.6,0.5,3.3,2370.28,2397.7,2464.14,No Signal,
GLOBAL,Consumer,0.0,0.0,False,False,81.5,0.0,4.1,8.8,30.4,103.34,107.95,129.38,Bullish Continual,81.5
GMDCLTD,Industrial,0.0,0.0,False,False,0.3,0.0,3.2,6.1,18.3,594.13,610.89,680.87,Bullish Continual,0.3
GNA,Industrial,79.6,0.0,True,False,74.7,0.0,1.5,3.5,22.8,381.04,388.31,460.81,Bullish,79.6
GODFRYPHLP,Consumer,82.8,0.0,True,False,0.0,72.4,4.0,4.9,8.3,2071.66,2089.53,2156.71,Reversal,82.8
GODREJAGRO,Consumer,75.7,0.0,True,False,0.0,0.0,-0.3,-0.2,5.6,586.96,587.57,621.41,No Signal,
GODREJCP,Consumer,68.8,0.0,True,False,0.0,85.5,0.0,1.7,6.7,1017.72,1034.79,1085.44,Reversal,68.8
GOKULAGRO,Consumer,0.0,85.0,False,True,0.1,0.0,-1.4,1.0,13.0,178.99,183.41,205.17,Bearish Continual,0.0
GOLDIAM,Consumer,82.6,0.0,True,False,0.0,85.5,0.3,3.7,9.9,296.91,307.12,325.49,Reversal,82.6
GOODLUCK,Industrial,80.0,0.0,True,False,0.0,0.0,1.4,2.7,15.0,1031.06,1045.0,1169.95,Reversal,80.0
GPIL,Industrial,0.0,0.0,False,False,0.0,0.0,3.1,5.3,19.1,270.78,276.63,312.81,Bullish Continual,0.0
GPPL,Industrial,79.6,0.0,True,False,0.0,0.1,0.4,1.3,9.8,152.34,153.7,166.52,Bullish,79.6
GPTHEALTH,Healthcare,80.9,0.0,True,False,0.0,77.3,1.8,3.2,14.6,122.86,124.51,138.26,Bullish,80.9
GPTINFRA,Industrial,76.9,0.0,True,False,0.0,88.1,-0.1,1.7,8.7,103.54,105.36,112.61,No Signal,
GRANULES,Healthcare,0.0,0.0,False,False,0.1,0.0,1.7,3.5,13.5,601.15,611.9,670.92,Bullish Continual,0.1
GRAPHITE,Industrial,77.5,0.0,True,False,76.5,0.0,1.7,4.0,16.2,617.47,631.32,705.4,Reversal,77.5
GRAVITA,Industrial,79.1,0.0,True,False,0.0,85.5,0.1,1.1,3.6,1406.28,1421.23,1456.47,Bullish,79.1
GREENPANEL,Consumer,81.4,0.0,True,False,0.0,88.2,1.6,3.9,15.8,197.11,201.72,224.72,Reversal,81.4
GREENPLY,Consumer,85.2,0.0,True,False,0.0,87.2,1.8,3.8,7.5,196.45,200.19,207.37,Reversal,85.2
GRINDWELL,Industrial,71.8,0.0,True,False,0.0,84.5,-0.1,1.2,6.3,1401.2,1419.55,1490.14,Bearish,0.0
GRWRHITECH,Industrial,75.9,0.0,True,False,69.0,0.0,1.3,3.9,20.9,3699.69,3792.62,4412.59,Bullish,75.9
GSPL,Industrial,74.8,0.0,True,False,0.0,86.9,-0.4,1.6,4.9,253.8,258.7,267.12,Bearish,0.0
GUJGASLTD,Industrial,74.5,0.0,True,False,0.0,86.7,-0.8,1.8,6.5,351.88,361.08,377.54,No Signal,
GULFOILLUB,Industrial,81.2,0.0,True,False,0.0,83.9,0.6,2.2,3.5,924.73,939.74,951.27,Reversal,81.2
GVT&D,Industrial,0.0,0.0,False,False,80.6,0.0,3.6,5.3,18.3,3810.61,3875.67,4353.82,Bullish,0.0
HAL,Industrial,73.3,0.0,True,False,0.0,84.1,-0.6,-0.2,3.3,3758.75,3775.74,3908.06,Bearish,0.0
HAPPSTMNDS,IT,0.0,81.9,False,True,0.0,72.7,-0.7,-4.8,2.9,407.97,391.22,422.9,Bearish Continual,72.7
HAPPYFORGE,Industrial,0.0,0.0,False,False,78.9,0.0,2.7,4.1,13.1,1298.96,1317.16,1431.59,Bullish Continual,78.9
HARIOMPIPE,Industrial,78.9,0.0,True,False,0.0,87.2,0.7,2.1,3.5,307.81,311.84,316.17,Bullish,78.9
HATSUN,Consumer,0.0,67.0,False,True,0.0,0.0,1.5,2.7,9.8,971.23,982.13,1050.42,Bullish Continual,0.0
HAVELLS,Consumer,74.9,0.0,True,False,0.0,87.2,0.5,2.2,6.5,1288.02,1309.59,1364.24,Reversal,74.9
HBLENGINE,Industrial,87.0,0.0,True,False,0.0,84.4,2.9,5.3,17.0,678.42,694.68,771.9,Bullish,87.0
HCLTECH,IT,67.4,0.0,True,False,0.0,71.7,0.4,0.3,1.1,1339.56,1337.93,1348.25,Reversal,67.4
HDFCAMC,Financial,61.2,0.0,True,False,0.0,0.3,2.5,4.1,20.3,2444.41,2484.83,2869.34,Reversal,61.2
HDFCBANK,Financial,68.6,0.0,True,False,0.0,83.9,2.5,4.1,20.3,799.59,812.81,938.59,Reversal,68.6
HDFCLIFE,Financial,65.1,0.0,True,False,0.0,84.8,2.5,4.1,20.3,638.94,649.51,750.02,Reversal,65.1
HERITGFOOD,Consumer,85.6,0.0,True,False,0.0,84.7,3.6,3.5,3.5,320.62,320.19,320.2,Bullish,85.6
HEROMOTOCO,Industrial,0.0,0.0,False,False,0.0,0.0,1.7,3.3,17.1,5363.45,5449.84,6180.04,Bullish,0.0
HESTERBIO,Healthcare,75.1,0.0,True,False,0.0,76.6,0.5,1.6,6.8,1402.11,1417.89,1489.28,Reversal,75.1
HINDALCO,Industrial,0.0,0.0,False,False,0.0,0.0,1.7,3.8,14.6,888.72,907.91,1002.26,Bullish,0.0
HINDCOPPER,Industrial,84.7,0.0,True,False,0.3,0.0,4.5,5.9,21.9,511.7,518.48,596.43,Bullish,84.7
HINDPETRO,Industrial,87.7,0.0,True,False,0.0,82.9,3.3,4.4,5.3,347.44,350.99,354.14,Bullish,87.7
HINDUNILVR,Consumer,63.4,0.0,True,False,0.0,84.8,0.2,1.5,6.7,2087.43,2114.64,2221.73,Reversal,63.4
HINDZINC,Industrial,80.9,0.0,True,False,0.0,0.1,0.8,2.1,9.3,518.9,525.32,562.58,Bullish,80.9
HIRECT,Industrial,0.0,79.5,False,True,0.0,0.0,2.1,4.6,23.9,1519.62,1556.49,1844.94,Bullish Continual,0.0
HLEGLAS,Industrial,90.6,0.0,True,False,0.0,81.8,6.1,6.8,11.0,303.82,305.7,317.72,Bullish,90.6
HMAAGRO,Consumer,80.9,0.0,True,False,0.0,88.4,1.0,3.5,19.9,24.21,24.79,28.73,Reversal,80.9
HNDFDS,Consumer,0.0,0.0,False,False,0.0,88.1,0.8,1.3,5.4,485.93,488.56,508.18,Bullish,0.0
HPL,Industrial,86.5,0.0,True,False,0.0,85.0,1.9,1.9,5.5,288.92,288.87,299.13,Reversal,86.5
HSCL,Chemicals,0.0,0.0,False,False,0.0,85.9,0.8,3.9,9.0,455.04,469.22,491.81,Bullish,0.0
HUDCO,Financial,82.9,0.0,True,False,0.0,84.9,2.5,4.1,20.3,176.71,179.63,207.43,Reversal,82.9
HUHTAMAKI,Industrial,79.7,0.0,True,False,0.0,86.4,0.4,1.3,3.2,163.6,165.08,168.17,Bullish,79.7
HYUNDAI,Industrial,71.3,0.0,True,False,0.0,86.8,0.2,0.4,8.2,1955.14,1959.26,2110.88,Reversal,71.3
ICEMAKE,Industrial,72.4,0.0,True,False,0.0,0.0,-0.1,0.8,7.3,763.14,770.26,819.91,No Signal,
ICICIPRULI,Financial,72.1,0.0,True,False,0.0,88.3,2.5,4.1,20.3,565.64,574.99,663.97,Reversal,72.1
ICIL,Industrial,80.2,0.0,True,False,0.0,86.0,0.4,2.2,9.5,234.48,238.68,255.63,Reversal,80.2
ICRA,Financial,60.4,0.0,True,False,0.0,87.0,2.5,4.1,20.3,5331.1,5419.27,6257.85,Reversal,60.4
IDBI,Financial,84.8,0.0,True,False,0.0,0.3,-4.0,35.4,15.1,70.17,98.93,84.12,No Signal,
IGIL,Industrial,0.0,0.0,False,False,0.0,0.0,1.3,1.8,8.4,342.69,344.41,366.79,Bullish,0.0
IIFLCAPS,Financial,83.0,0.0,True,False,0.0,86.1,2.6,4.6,20.3,276.69,282.14,324.47,Reversal,83.0
IKS,IT,73.5,0.0,True,False,0.0,76.5,1.2,1.1,3.8,1348.67,1347.35,1384.01,Bullish,73.5
IMFA,Industrial,81.8,0.0,True,False,0.0,0.0,2.4,2.4,13.1,1264.71,1264.36,1396.67,Bullish Continual,0.0
INDHOTEL,Consumer,70.5,0.0,True,False,0.0,88.7,-0.1,2.2,7.5,615.06,629.26,661.8,No Signal,
INDIAGLYCO,Consumer,83.1,0.0,True,False,0.0,0.2,1.0,2.4,6.6,884.77,896.9,934.14,Bullish Continual,0.0
INDIAMART,Consumer,75.7,0.0,True,False,0.0,85.3,0.1,0.8,4.1,1995.77,2009.47,2076.12,Reversal,75.7
INDIANB,Financial,74.8,0.0,True,False,69.0,0.0,2.6,4.6,20.3,901.08,918.84,1056.69,Bullish,74.8
INDIASHLTR,Financial,68.1,0.0,True,False,0.0,84.8,2.5,4.1,20.3,702.98,714.6,825.18,Bullish,68.1
INDIGOPNTS,Consumer,86.0,0.0,True,False,0.0,82.4,6.1,5.2,3.3,789.49,782.29,768.42,Bullish,86.0
INDNIPPON,Industrial,74.1,0.0,True,False,0.0,87.7,0.0,1.2,10.7,735.54,744.31,813.97,Reversal,74.1
INDOAMIN,Chemicals,86.5,0.0,True,False,0.0,81.8,4.9,7.5,31.6,92.57,94.9,116.2,Reversal,86.5
INDOBORAX,Chemicals,0.0,0.0,False,False,0.0,0.0,3.4,5.3,25.4,252.54,257.1,306.27,Bullish,0.0
INDOUS,Consumer,81.5,0.0,True,False,0.0,91.6,-1.1,0.6,3.6,103.01,104.82,107.95,No Signal,
INDSWFTLAB,Healthcare,0.0,0.0,False,False,79.6,0.0,4.6,11.7,33.2,148.01,158.01,188.48,Bullish Continual,79.6
INDUSTOWER,Industrial,75.0,0.0,True,False,0.0,0.0,1.2,2.1,11.9,439.62,443.84,486.44,Bullish,75.0
INFOBEAN,IT,88.1,0.0,True,False,0.0,0.3,2.6,6.5,36.3,143.38,148.82,190.39,Bullish,88.1
INFY,IT,76.8,0.0,True,False,0.0,78.0,0.5,-0.2,6.8,1261.57,1253.68,1341.24,Reversal,76.8
INNOVACAP,Healthcare,0.0,0.0,False,False,0.0,88.5,-0.1,0.4,0.1,679.16,682.23,680.1,No Signal,
INNOVANA,IT,79.2,0.0,True,False,0.0,88.1,-2.0,-1.1,4.4,346.16,349.33,368.86,Bearish,0.0
INOXINDIA,Industrial,0.0,0.0,False,False,0.0,0.0,1.6,3.0,12.1,1199.92,1216.07,1323.74,Bullish Continual,0.0
INSECTICID,Chemicals,71.8,0.0,True,False,0.0,87.4,-0.5,2.2,24.8,571.96,587.32,717.56,Bearish,0.0
INTELLECT,IT,87.0,0.0,True,False,0.0,74.3,3.7,7.5,16.4,674.37,699.38,757.33,Reversal,87.0
INTLCONV,Industrial,81.0,0.0,True,False,0.0,86.1,0.8,1.7,3.6,70.31,70.92,72.28,Bullish,81.0
IOB,Financial,75.2,0.0,True,False,0.0,0.2,2.5,4.1,20.3,34.55,35.12,40.55,Bullish,75.2
IOC,Industrial,77.6,0.0,True,False,0.0,0.1,0.3,1.8,9.1,145.07,147.23,157.8,Bullish,77.6
IONEXCHANG,Industrial,76.3,0.0,True,False,0.0,87.6,-0.5,1.2,1.3,336.46,342.11,342.48,Bearish,0.0
IPCALAB,Healthcare,0.0,52.0,False,False,75.9,0.0,2.1,4.2,20.4,1576.96,1609.27,1860.19,Bullish Continual,75.9
IPL,Chemicals,79.3,0.0,True,False,0.0,87.9,0.4,2.6,32.4,137.48,140.62,181.39,Bullish,79.3
IRB,Industrial,0.0,0.0,False,False,0.0,0.1,0.7,0.8,13.1,41.8,41.84,46.94,Bullish,0.0
IRCTC,Consumer,76.0,0.0,True,False,0.0,88.6,-0.2,0.4,4.4,521.9,524.9,546.11,Bearish,0.0
IREDA,Financial,80.3,0.0,True,False,0.0,86.0,2.5,4.1,20.3,119.22,121.2,139.95,Bullish,80.3
ISGEC,Industrial,0.0,77.2,False,True,0.0,0.0,0.7,0.9,11.1,894.74,896.0,987.02,Bullish,0.0
J&KBANK,Financial,0.0,81.0,False,True,78.8,0.0,2.5,4.1,20.3,121.73,123.75,142.9,Bullish Continual,78.8
JAIBALAJI,Industrial,0.0,0.0,False,False,0.0,0.1,3.0,7.6,38.8,66.65,69.62,89.78,Bullish,0.0
JAMNAAUTO,Industrial,81.2,0.0,True,False,0.0,0.0,1.9,4.0,15.6,121.93,124.43,138.33,Reversal,81.2
JBCHEPHARM,Healthcare,0.0,63.5,False,True,79.1,0.0,2.6,4.8,20.3,2194.73,2242.01,2572.29,Bullish Continual,79.1
JGCHEM,Chemicals,72.1,0.0,True,False,0.0,88.4,-0.4,0.8,8.1,330.74,334.63,358.73,No Signal,
JINDALSAW,Industrial,0.0,79.5,False,True,0.0,0.0,1.3,1.7,20.0,196.6,197.46,232.99,Bullish Continual,0.0
JINDRILL,Industrial,0.0,0.0,False,False,0.0,87.2,-2.5,-1.1,14.6,463.31,469.81,544.83,No Signal,
JINDWORLD,Industrial,88.1,0.0,True,False,0.0,88.4,2.6,8.4,41.6,21.88,23.11,30.18,Reversal,88.1
JKCEMENT,Industrial,76.1,0.0,True,False,0.0,87.8,-0.5,0.6,7.6,4976.63,5030.61,5378.42,Bearish,0.0
JKIL,Industrial,79.6,0.0,True,False,0.0,86.1,0.6,2.3,7.1,491.31,499.65,523.19,Bullish,79.6
JKLAKSHMI,Industrial,82.7,0.0,True,False,0.0,85.7,1.9,2.2,5.8,603.86,605.69,626.96,Reversal,82.7
JKPAPER,Industrial,0.0,0.0,False,False,0.0,88.2,-0.2,0.6,7.2,336.24,338.92,361.16,No Signal,
JKTYRE,Industrial,79.5,0.0,True,False,0.0,0.1,1.6,3.2,12.9,423.98,430.45,471.27,Bullish,79.5
JLHL,Healthcare,0.0,0.0,False,False,0.0,85.6,0.1,0.0,5.8,1270.66,1269.31,1341.98,Bullish,0.0
JMA,Industrial,76.9,0.0,True,False,0.0,0.0,1.5,3.1,18.5,81.75,83.07,95.49,Bullish,76.9
JMFINANCIL,Financial,81.0,0.0,True,False,0.0,84.3,2.6,4.6,20.3,126.3,128.79,148.12,Bullish,81.0
JSL,Industrial,0.0,0.0,False,False,0.0,0.1,0.6,2.9,13.7,726.43,743.18,820.88,Reversal,0.0
JSLL,Healthcare,66.8,0.0,True,False,0.0,88.8,-1.7,-3.9,11.2,601.2,587.21,679.71,No Signal,
JSWENERGY,Industrial,0.0,70.7,False,True,0.0,0.0,0.9,1.3,8.1,511.69,513.63,548.13,Bullish Continual,0.0
JSWINFRA,Industrial,0.0,0.0,False,False,0.0,88.2,0.2,1.5,8.3,251.58,254.81,271.95,Bullish,0.0
JTEKTINDIA,Industrial,75.2,0.0,True,False,0.0,88.4,-0.4,1.1,14.5,126.72,128.65,145.79,Bearish,0.0
JUBLCPL,Chemicals,86.3,0.0,True,False,0.0,82.0,2.4,3.4,18.8,1697.34,1713.22,1968.46,Bullish,86.3
JUBLFOOD,Consumer,73.8,0.0,True,False,0.0,88.3,-0.4,0.2,4.2,449.72,452.37,470.37,Bearish,0.0
JUSTDIAL,Consumer,81.5,0.0,True,False,0.0,87.1,2.9,2.5,-0.1,535.37,533.57,520.05,Reversal,81.5
JWL,Industrial,81.0,0.0,True,False,0.0,87.4,1.6,3.3,11.5,266.7,271.2,292.8,Reversal,81.0
JYOTHYLAB,Consumer,81.6,0.0,True,False,0.0,84.3,0.8,2.3,2.2,210.14,213.45,213.22,Bullish,81.6
JYOTICNC,Industrial,76.0,0.0,True,False,0.0,86.1,0.3,1.8,4.1,742.15,753.17,770.55,Reversal,76.0
KAJARIACER,Consumer,0.0,0.0,False,False,0.0,87.4,1.1,2.1,10.1,962.19,971.34,1047.68,Bullish,0.0
KALYANKJIL,Consumer,85.9,0.0,True,False,0.0,88.3,0.9,1.6,8.3,386.09,388.77,414.38,Bullish,85.9
KAMATHOTEL,Consumer,0.0,0.0,False,False,0.0,87.8,1.2,1.3,3.2,184.72,184.93,188.44,Reversal,0.0
KAMDHENU,Industrial,0.0,0.0,False,False,0.0,88.7,0.4,1.8,13.0,21.2,21.51,23.86,Bullish,0.0
KANSAINER,Consumer,83.3,0.0,True,False,0.0,87.9,2.1,3.6,9.0,170.24,172.74,181.8,Bullish,83.3
KCP,Industrial,83.2,0.0,True,False,0.0,85.4,1.0,2.8,7.1,138.9,141.33,147.27,Bullish,83.2
KDDL,Consumer,78.1,0.0,True,False,0.0,89.0,-0.1,1.2,1.6,2193.15,2220.96,2229.49,No Signal,
KEC,Industrial,83.3,0.0,True,False,0.0,84.0,2.6,4.5,6.2,560.3,570.52,579.77,Bullish,83.3
KEI,Industrial,73.7,0.0,True,False,0.0,0.0,1.3,3.1,18.4,4240.72,4318.86,4959.44,Reversal,73.7
KELLTONTEC,IT,79.6,0.0,True,False,0.0,88.5,-1.0,1.1,14.0,15.92,16.27,18.34,Bearish,0.0
KIMS,Healthcare,74.3,0.0,True,False,0.0,0.0,1.4,2.1,18.1,653.94,658.43,761.87,Bullish,74.3
KIRLOSBROS,Industrial,0.0,0.0,False,False,0.0,0.1,-0.6,0.8,7.8,1551.69,1573.23,1683.59,No Signal,
KIRLPNU,Industrial,72.1,0.0,True,False,0.0,0.1,-0.0,0.9,4.5,1050.5,1060.26,1097.84,Reversal,72.1
KKCL,Industrial,78.8,0.0,True,False,0.0,87.1,-0.5,1.1,5.3,424.55,431.39,449.44,No Signal,
KNRCON,Industrial,86.3,0.0,True,False,0.0,88.1,3.2,5.2,9.3,121.8,124.16,129.04,Reversal,86.3
KOTAKBANK,Financial,70.9,0.0,True,False,0.0,80.5,2.5,4.1,20.3,375.74,381.96,441.06,Reversal,70.9
KOTHARIPET,Chemicals,75.0,0.0,True,False,0.0,86.7,1.2,4.0,39.0,112.23,115.37,154.12,Reversal,75.0
KPEL,Industrial,84.4,0.0,True,False,0.0,88.1,1.0,2.9,4.3,282.02,287.22,291.25,Bullish Continual,0.0
KPIL,Industrial,0.0,0.0,False,False,0.0,84.7,1.0,2.3,12.7,1081.65,1095.69,1206.65,Bullish,0.0
KPITTECH,IT,71.3,0.0,True,False,0.0,73.7,6.8,13.0,58.0,705.59,747.11,1044.08,Reversal,71.3
KPRMILL,Industrial,73.2,0.0,True,False,0.0,89.0,-0.8,0.8,6.2,816.63,829.95,874.41,Bearish,0.0
KRBL,Consumer,84.8,0.0,True,False,0.0,86.3,1.1,2.6,7.5,290.57,294.88,308.81,Reversal,84.8
KRITINUT,Consumer,85.1,0.0,True,False,0.0,90.1,1.7,4.8,12.2,64.59,66.59,71.24,Reversal,85.1
KRN,Industrial,0.0,79.8,False,True,75.4,0.0,1.9,3.8,25.3,914.22,930.62,1124.08,Bullish Continual,75.4
KRSNAA,Healthcare,84.2,0.0,True,False,0.0,82.5,1.2,1.8,10.5,594.63,598.06,649.07,Reversal,84.2
KRYSTAL,Industrial,77.4,0.0,True,False,0.0,0.1,0.5,2.0,10.2,555.64,564.19,609.63,Reversal,77.4
KSB,Industrial,0.0,73.0,False,True,0.0,0.0,0.7,1.5,16.9,787.81,794.31,914.89,Bullish Continual,0.0
KSL,Industrial,77.1,0.0,True,False,0.0,87.4,-0.1,1.3,7.0,651.0,660.37,697.5,No Signal,
KSOLVES,IT,74.3,0.0,True,False,0.0,0.2,-1.6,-0.0,3.1,271.07,275.34,284.09,No Signal,
LALPATHLAB,Healthcare,80.1,0.0,True,False,0.0,85.6,1.0,1.7,9.4,1321.0,1329.9,1431.67,Reversal,80.1
LATENTVIEW,IT,81.3,0.0,True,False,0.0,70.0,9.0,10.0,44.8,291.31,294.18,387.25,Reversal,81.3
LAURUSLABS,Healthcare,0.0,0.0,False,False,0.0,0.0,3.1,6.5,15.1,1017.88,1051.21,1136.41,Bullish,0.0
LAXMIDENTL,Healthcare,86.5,0.0,True,False,0.0,86.0,3.4,-3.7,-11.5,179.64,167.26,153.69,Bullish,86.5
LEMONTREE,Consumer,82.8,0.0,True,False,0.0,86.3,4.4,3.5,6.0,110.36,109.34,111.97,Reversal,82.8
LGBBROSLTD,Industrial,80.8,0.0,True,False,0.0,0.0,1.0,2.9,14.4,1727.75,1759.04,1956.34,Bullish,80.8
LICHSGFIN,Financial,78.3,0.0,True,False,0.0,87.2,2.5,4.1,20.3,498.07,506.31,584.66,Reversal,78.3
LICI,Financial,71.3,0.0,True,False,0.0,85.2,2.5,4.1,20.3,795.8,808.96,934.14,Reversal,71.3
LIKHITHA,Industrial,87.0,0.0,True,False,0.0,86.9,4.1,5.7,22.1,147.62,149.86,173.0,Reversal,87.0
LINC,Consumer,0.0,0.0,False,False,0.0,90.0,0.5,1.7,12.4,103.34,104.61,115.61,Bullish,0.0
LINCOLN,Healthcare,0.0,0.0,False,False,80.1,0.0,4.5,7.1,22.2,627.42,643.32,733.74,Bullish Continual,80.1
LINDEINDIA,Chemicals,0.0,0.0,False,False,77.7,0.0,1.9,3.2,12.1,7150.87,7237.53,7865.69,Bullish Continual,77.7
LLOYDSME,Industrial,0.0,77.4,False,True,0.0,85.6,1.2,2.2,4.8,1260.6,1272.62,1305.28,Bullish,0.0
LODHA,Industrial,85.1,0.0,True,False,0.0,84.9,2.4,4.4,6.7,816.39,831.97,850.52,Reversal,85.1
LTF,Financial,72.0,0.0,True,False,0.0,0.0,2.6,4.6,20.3,267.87,273.15,314.13,Reversal,72.0
LTFOODS,Consumer,72.6,0.0,True,False,0.0,86.2,-0.7,1.8,11.5,375.69,385.11,421.84,Bearish,0.0
LTTS,IT,75.1,0.0,True,False,0.0,76.8,3.1,3.7,-1.0,3329.01,3348.53,3196.51,Bullish,75.1
LUMAXIND,Industrial,70.6,0.0,True,False,0.0,0.0,2.1,3.3,14.0,5162.69,5224.29,5763.5,Bullish,70.6
LUMAXTECH,Industrial,83.3,0.0,True,False,0.0,0.0,2.8,5.5,16.5,1612.32,1654.29,1826.17,Bullish Continual,0.0
LUPIN,Healthcare,0.0,0.1,False,False,76.8,0.0,2.1,3.3,12.7,2370.47,2398.76,2617.38,Bullish Continual,76.8
LUXIND,Industrial,0.0,0.0,False,False,0.0,87.4,0.7,0.9,4.8,948.02,949.65,985.9,Reversal,0.0
M&MFIN,Financial,81.8,0.0,True,False,0.0,0.2,2.5,4.1,20.3,315.91,321.14,370.83,Bullish,81.8
MAHSEAMLES,Industrial,0.0,67.0,False,True,0.0,0.0,1.2,1.0,9.3,571.47,570.44,617.44,Bullish Continual,0.0
MAITHANALL,Industrial,75.4,0.0,True,False,0.0,0.1,-0.4,1.3,4.6,931.16,947.3,978.57,No Signal,
MALLCOM,Industrial,73.9,0.0,True,False,0.0,87.0,-0.5,1.1,1.3,1027.86,1044.73,1046.48,Bearish,0.0
