Symbol,Sector,Fund Score,Market Cap Cr,Cap Category,Current Price,RSI,ADX,MACD Hist,Vol Ratio,EMA20,EMA50,EMA200,DI+,DI-,Momentum Score,Reversal Score,Best Setup,Tech Score,Tier,In Consolidation,Consol Days,Consol Label,Pct to Breakout,Consol Volume,Vol 5D Ratio,Breakout Vol,range_pct,Vol Label,Vol Inference,Sector Trend,Sector Detail,Sector Score,Cap Score,ML_Prediction,ML_Confidence,Forecast_25d_Pct,Forecast_45d_Pct,Forecast_180d_Pct,Forecast_25d_Price,Forecast_45d_Price,Forecast_180d_Price,Bottom_Rev_Prob,Top_Rev_Prob,Bottom_Rev_Flag,Top_Rev_Flag,Bullish_Cont_Prob,Bearish_Cont_Prob
AHLUCONT,Construction,67.0,4856.26,Mid Cap,724.95,34.97,21.61,0.96,0.82,765.26,818.26,902.4,16.19,19.98,15,65,Reversal,65,TIER 1 — BUY NOW (Reversal),False,0,No consolidation,0.0,0.0,1.34,0.0,0.0,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,8.5,8.5,Reversal,85.5,2.5,5.0,5.4,742.78,761.27,763.74,85.5,0.0,True,False,0.0,82.7
AIAENG,Capital Goods,53.0,31818.51,Large Cap,3409.6,24.14,19.78,-20.32,1.98,3714.77,3787.01,3623.11,18.12,35.27,5,58,Reversal,58,TIER 3 — WAITING,True,645,645d (1.5-2 years),-22.52,9.52,4.68,2.7,-22.52,Extremely High,High volume → could be capitulation or distribution,Strong Downtrend ↓↓,RSI 36.0 | ADX 40.7 | MACD ▼ | EMA mixed | Below EMA200,6.5,6.5,Reversal,75.4,0.1,2.1,7.2,3411.61,3480.86,3656.5,75.4,0.0,True,False,0.0,0.1
AIRAN,Information Technology,67.0,190.28,Small Cap,15.22,33.55,35.92,-0.1,0.68,15.93,16.6,21.16,12.66,23.37,5,58,Reversal,58,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,0.88,0.0,0.0,Low,Neutral volume → wait for low-volume base to form,Strong Downtrend ↓↓,RSI 40.4 | ADX 54.5 | MACD ▲ | EMA ↓↓↓ | Below EMA200,7.8,7.8,Reversal,81.1,0.3,2.9,22.1,15.27,15.66,18.58,81.1,0.0,True,False,0.0,90.4
AJANTPHARM,Healthcare,72.0,36307.74,Large Cap,2904.7,39.76,20.41,-15.04,0.82,2971.88,2891.73,2707.78,19.52,27.37,35,25,Watching,35,TIER 2 — BASE BUILDING,True,468,468d (1-1.5 years),-9.85,1.78,1.16,1.04,-9.85,Normal,Normal activity → no setup forming yet,Sideways →,RSI 45.0 | ADX 27.7 | MACD ▼ | EMA ↑↑↑ | Above EMA200,8.3,9.7,Bullish,0.0,1.9,3.1,8.4,2960.68,2995.42,3148.17,0.0,0.0,False,False,73.8,0.0
AKSHARCHEM,Chemicals,45.5,147.83,Small Cap,184.03,47.54,47.22,-0.4,0.47,190.86,209.25,241.74,19.03,18.21,27,75,Reversal,75,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,1.58,0.0,0.0,High,High volume → could be capitulation or distribution,Strong Downtrend ↓↓,RSI 33.9 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,5.1,6.3,Reversal,78.7,1.4,5.5,-5.4,186.68,194.21,174.05,78.7,0.0,True,False,0.0,84.2
AKUMS,Healthcare,58.6,7405.85,Mini Large Cap,483.4,53.52,16.95,-2.32,0.83,476.84,466.7,485.55,27.45,19.82,25,23,Watching,25,TIER 3 — WAITING,False,0,No consolidation,0.0,0.0,0.74,0.0,0.0,Low,Low activity → no setup forming yet,Sideways →,RSI 45.0 | ADX 27.7 | MACD ▼ | EMA ↑↑↑ | Above EMA200,6.8,6.9,Bullish,0.0,1.7,1.6,14.0,491.49,491.03,551.18,0.0,0.1,False,False,0.0,0.0
ALEMBICLTD,Realty,62.0,2051.69,Mid Cap,79.9,32.82,56.28,-0.54,0.49,85.22,90.55,99.56,9.04,33.45,5,50,Reversal,50,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,1.2,0.0,0.0,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 30.9 | ADX 45.0 | MACD ▼ | EMA ↓↓↓ | Below EMA200,7.7,7.7,Reversal,80.4,0.8,2.2,6.3,80.53,81.69,84.93,80.4,0.0,True,False,0.0,85.1
ALKEM,Healthcare,54.0,62861.3,Large Cap,5257.5,32.66,23.96,-25.6,2.74,5436.69,5515.33,5416.52,16.44,32.12,5,35,Watching,35,TIER 3 — WAITING,True,575,575d (1.5-2 years),-13.64,2.74,1.47,0.78,-13.64,Normal,Normal activity → no setup forming yet,Sideways →,RSI 45.0 | ADX 27.7 | MACD ▼ | EMA ↑↑↑ | Above EMA200,6.2,7.3,Bullish,0.0,1.3,2.3,8.7,5324.6,5379.12,5716.65,0.0,0.0,False,False,0.0,0.1
ALKYLAMINE,Chemicals,87.0,6607.81,Mini Large Cap,1292.0,37.85,37.84,-2.54,1.3,1368.45,1469.38,1713.67,14.21,16.76,5,70,Reversal,70,TIER 1 — BUY NOW (Reversal),False,0,No consolidation,0.0,0.0,2.16,0.0,0.0,Very High,High volume → could be capitulation or distribution,Strong Downtrend ↓↓,RSI 33.9 | ADX 42.3 | MACD ▼ | EMA mixed | Below EMA200,9.8,10.0,Reversal,66.0,0.2,1.9,8.3,1294.45,1316.35,1399.51,66.0,0.0,True,False,0.0,87.0
ALLDIGI,Services,67.0,1118.19,Mid Cap,733.8,35.05,17.53,-4.7,0.68,777.32,802.71,851.02,21.32,15.88,0,56,Reversal,56,TIER 2 — WATCHLIST,False,0,No consolidation,0.0,0.0,1.05,0.0,0.0,Normal,Elevated volume on reversal → watch direction,Strong Downtrend ↓↓,RSI 26.6 | ADX 57.3 | MACD ▼ | EMA ↓↓↓ | Below EMA200,8.2,10.0,Reversal,75.3,0.2,1.4,3.6,735.3,744.31,760.39,75.3,0.0,True,False,0.0,86.3
