Symbol,Sector,Market_Cap_Cr,Cap_Tier,Passed,Fail_Reason
ARIES,Chemicals,440.91,Small Cap,False,Inconsistent profits: 10.0/13.0 quarters
ARIHANTCAP,Financial Services,746.33,Small Cap,True,
ARIHANTSUP,Realty,916.66,Small Cap,False,D/E 2.38 > 1.0 (Small Cap)
ARKADE,Realty,1916.42,Mid Cap,False,Poor CF: 2.0/5.0 yrs
ARMANFIN,Financial Services,1589.13,Mid Cap,False,ROE 6.0% < 8% (Mid Cap)
ARROWGREEN,Capital Goods,571.0,Small Cap,True,
ARTEMISMED,Healthcare,,Small Cap,False,ROE 9.3% < 10% (Small Cap)
ARVIND,Textiles,9416.47,Mini Large,True,
ARVINDFASN,Consumer Services,5312.51,Mini Large,False,ROE 3.3% < 7% (Mini Large)
ARVSMART,Realty,2450.21,Mid Cap,False,Poor CF: 6.0/11.0 yrs
ASAHIINDIA,Automobile and Auto Components,20660.57,Large Cap,True,
ASAHISONG,Chemicals,244.73,Small Cap,False,ROE 6.6% < 10% (Small Cap)
ASAL,Automobile and Auto Components,666.0,Small Cap,False,TTM Profit negative or zero
ASALCBR,Fast Moving Consumer Goods,1461.36,Mid Cap,True,
ASHAPURMIN,Metals & Mining,4803.53,Mid Cap,True,
ASHIANA,Realty,3050.93,Mid Cap,False,ROE 2.3% < 8% (Mid Cap)
ASHIMASYN,Textiles,271.47,Small Cap,False,TTM Profit negative or zero
ASHOKA,Construction,3194.37,Mid Cap,True,
ASHOKLEY,Capital Goods,99203.53,Large Cap,False,D/E 4.33 > 2.5 (Large Cap)
ASIANENE,"Oil, Gas & Consumable Fuels",1268.48,Mid Cap,False,Poor CF: 5.0/12.0 yrs
ASIANHOTNR,Consumer Services,1228.31,Mid Cap,False,TTM Profit negative or zero
ASIANPAINT,Consumer Durables,210449.79,Large Cap,True,
ASIANTILES,Consumer Durables,1797.15,Mid Cap,False,ROE 1.5% < 8% (Mid Cap)
ASKAUTOLTD,Automobile and Auto Components,8067.08,Mini Large,True,
ASMS,Information Technology,237.65,Small Cap,False,Promoter selling: -11.92% in 4Q
ASPINWALL,Services,162.49,Small Cap,False,ROE 8.0% < 10% (Small Cap)
ASTEC,Chemicals,1254.12,Mid Cap,False,TTM Profit negative or zero
ASTERDM,Healthcare,32417.06,Large Cap,True,
ASTRAL,Capital Goods,43838.34,Large Cap,True,
ASTRAMICRO,Capital Goods,8457.7,Mini Large,False,Promoter 6.54% < 20% (Mini Large)
ASTRAZEN,Healthcare,20802.5,Large Cap,False,TTM Profit negative or zero
ATALREAL,Realty,289.42,Small Cap,False,ROE 5.8% < 10% (Small Cap)
ATGL,"Oil, Gas & Consumable Fuels",60730.65,Large Cap,True,
ATL,Services,651.43,Small Cap,False,ROE 9.7% < 10% (Small Cap)
ATLANTAA,Construction,304.0,Small Cap,False,D/E 1.54 > 1.0 (Small Cap)
ATUL,Chemicals,18386.38,Mini Large,True,
ATULAUTO,Capital Goods,1157.37,Mid Cap,False,ROE 4.0% < 8% (Mid Cap)
AUBANK,Financial Services,67358.34,Large Cap,True,
AURIONPRO,Information Technology,4502.66,Mid Cap,True,
AUROPHARMA,Healthcare,75004.72,Large Cap,True,
AURUM,Information Technology,1300.11,Mid Cap,False,TTM Profit negative or zero
AUTOAXLES,Automobile and Auto Components,2520.17,Mid Cap,False,TTM Profit negative or zero
AUTOIND,Automobile and Auto Components,271.03,Small Cap,False,D/E 1.55 > 1.0 (Small Cap)
AVADHSUGAR,Fast Moving Consumer Goods,913.04,Small Cap,False,TTM Profit negative or zero
AVALON,Capital Goods,6355.47,Mini Large,False,Promoter selling: -6.16% in 4Q
AVANTEL,Capital Goods,3384.62,Mid Cap,True,
AVANTIFEED,Fast Moving Consumer Goods,16431.22,Mini Large,True,
AVG,Services,260.86,Small Cap,False,ROE 8.2% < 10% (Small Cap)
AVL,Consumer Services,5913.72,Mini Large,False,TTM Profit negative or zero
AVONMORE,Financial Services,340.88,Small Cap,False,ROE 9.0% < 10% (Small Cap)
AVROIND,Consumer Durables,165.59,Small Cap,False,ROE nan% < 10% (Small Cap)
AVTNPL,Fast Moving Consumer Goods,905.92,Small Cap,False,ROE 9.2% < 10% (Small Cap)
AWFIS,Services,1885.81,Mid Cap,False,D/E 2.91 > 1.5 (Mid Cap)
AWHCL,Utilities,1244.24,Mid Cap,True,
AWL,Fast Moving Consumer Goods,24903.36,Large Cap,False,Promoter selling: -30.94% in 4Q
AXISBANK,Financial Services,374443.17,Large Cap,True,
AXISCADES,Capital Goods,6062.98,Mini Large,True,
AYMSYNTEX,Textiles,1073.62,Mid Cap,False,ROE 2.1% < 8% (Mid Cap)
AZAD,Capital Goods,9489.64,Mini Large,False,ROE 5.9% < 7% (Mini Large)
BAIDFIN,Financial Services,167.59,Small Cap,False,TTM Profit negative or zero
BAJAJ-AUTO,Automobile and Auto Components,252751.46,Large Cap,True,
BAJAJCON,Fast Moving Consumer Goods,4784.55,Mid Cap,True,
BAJAJELEC,Consumer Durables,4088.82,Mid Cap,False,ROE 7.8% < 8% (Mid Cap)
BAJAJFINSV,Financial Services,273219.95,Large Cap,True,
BAJAJHCARE,Healthcare,988.76,Small Cap,False,TTM Profit negative or zero
BAJAJHFL,Financial Services,67836.95,Large Cap,False,TTM Profit negative or zero
BAJAJHIND,Fast Moving Consumer Goods,2012.32,Mid Cap,False,TTM Profit negative or zero
BAJAJHLDNG,Financial Services,105862.39,Large Cap,True,
