Symbol,Exchange,Ticker,passed,fail_reason,Price,Avg_Daily_Value_L,Market_Cap_Cr,Data_Rows
BAJAJHIND,NSE,BAJAJHIND.NS,True,,16.16,1125.19,2012.32,5892.0
BAJAJHLDNG,NSE,BAJAJHLDNG.NS,True,,9512.0,6204.8,105862.39,5859.0
BAJAJINDEF,NSE,BAJAJINDEF.NS,True,,232.85,105.44,745.12,264.0
BAJEL,NSE,BAJEL.NS,True,,163.0,2534.2,1887.75,558.0
BAJFINANCE,NSE,BAJFINANCE.NS,True,,830.55,68424.25,516298.57,5890.0
BALAJEE,NSE,BALAJEE.NS,True,,24.71,30.15,201.56,375.0
BALAJITELE,NSE,BALAJITELE.NS,True,,83.66,403.33,1019.59,5892.0
BALAMINES,NSE,BALAMINES.NS,True,,1067.1,6025.41,3457.51,4678.0
BALAXI,NSE,BALAXI.NS,True,,17.65,26.35,97.44,2546.0
BALKRISIND,NSE,BALKRISIND.NS,True,,2105.1,4006.3,40695.2,4971.0
BALMLAWRIE,NSE,BALMLAWRIE.NS,True,,162.19,253.88,2777.9,5890.0
BALRAMCHIN,NSE,BALRAMCHIN.NS,True,,485.9,2641.41,9819.4,5893.0
BALUFORGE,NSE,BALUFORGE.NS,True,,437.75,6591.49,5316.28,472.0
BANARISUG,NSE,BANARISUG.NS,True,,3602.9,27.18,4517.93,5890.0
BANCOINDIA,NSE,BANCOINDIA.NS,True,,553.7,1318.79,7919.98,4746.0
BANDHANBNK,NSE,BANDHANBNK.NS,True,,158.44,16189.09,25524.25,1973.0
BANKBARODA,NSE,BANKBARODA.NS,True,,279.95,26355.84,144772.29,5890.0
BANKINDIA,NSE,BANKINDIA.NS,True,,150.49,17193.08,68513.1,5890.0
BANSALWIRE,NSE,BANSALWIRE.NS,True,,247.55,263.48,3878.68,418.0
BANSWRAS,NSE,BANSWRAS.NS,True,,112.38,39.3,384.7,4674.0
BASF,NSE,BASF.NS,True,,3312.2,656.46,14337.07,5890.0
BASML,NSE,BASML.NS,True,,20.01,28.75,160.23,5022.0
BATAINDIA,NSE,BATAINDIA.NS,True,,663.3,1059.04,8525.23,5890.0
BAYERCROP,NSE,BAYERCROP.NS,True,,4717.5,1093.95,21213.99,4001.0
BBL,NSE,BBL.NS,True,,2310.5,736.37,2612.46,4769.0
BBOX,NSE,BBOX.NS,True,,504.35,2079.66,8631.31,5892.0
BBTC,NSE,BBTC.NS,True,,1504.6,660.86,10497.88,5891.0
BCLIND,NSE,BCLIND.NS,True,,27.1,156.23,800.17,1247.0
BCONCEPTS,NSE,BCONCEPTS.NS,True,,228.3,23.86,284.96,2019.0
BDL,NSE,BDL.NS,True,,1249.9,21986.24,45816.65,1975.0
BECTORFOOD,NSE,BECTORFOOD.NS,True,,182.84,1119.16,5608.38,1296.0
BEL,NSE,BEL.NS,True,,426.1,79709.76,311469.68,5890.0
BEML,NSE,BEML.NS,True,,1514.6,4056.48,12618.0,5890.0
BEPL,NSE,BEPL.NS,True,,86.53,279.71,2159.31,5185.0
BERGEPAINT,NSE,BERGEPAINT.NS,True,,416.7,1803.88,48705.07,5892.0
BETA,NSE,BETA.NS,True,,1106.1,119.02,1116.56,2084.0
BFINVEST,NSE,BFINVEST.NS,True,,370.9,71.27,1406.08,3744.0
BHAGCHEM,NSE,BHAGCHEM.NS,True,,180.43,291.47,2343.77,1095.0
BHAGERIA,NSE,BHAGERIA.NS,True,,141.43,75.31,619.08,2483.0
BHAGYANGR,NSE,BHAGYANGR.NS,True,,145.83,268.91,466.61,5889.0
BHARATFORG,NSE,BHARATFORG.NS,True,,1711.5,23875.16,81824.87,7584.0
BHARATGEAR,NSE,BHARATGEAR.NS,True,,98.1,36.44,150.84,5890.0
BHARATRAS,NSE,BHARATRAS.NS,True,,1275.8,356.03,2120.52,5891.0
BHARATWIRE,NSE,BHARATWIRE.NS,True,,164.25,574.57,1126.5,2464.0
BHARTIARTL,NSE,BHARTIARTL.NS,True,,1846.1,131540.2,1124546.56,5890.0
BHARTIHEXA,NSE,BHARTIHEXA.NS,True,,1584.1,2739.76,79205.0,482.0
BHEL,NSE,BHEL.NS,True,,262.05,37018.3,91247.47,7585.0
BIGBLOC,NSE,BIGBLOC.NS,True,,50.12,124.61,709.58,2359.0
BIKAJI,NSE,BIKAJI.NS,True,,629.7,1018.46,15795.25,828.0
BIL,NSE,BIL.NS,True,,706.25,40.23,947.11,5891.0
BIOCON,NSE,BIOCON.NS,True,,380.95,11903.72,61688.43,5429.0
BIRLACABLE,NSE,BIRLACABLE.NS,True,,128.52,50.63,385.56,5890.0
BIRLACORPN,NSE,BIRLACORPN.NS,True,,815.1,746.21,6280.54,5890.0
BIRLAMONEY,NSE,BIRLAMONEY.NS,True,,111.95,66.8,632.84,4466.0
BLACKBUCK,NSE,BLACKBUCK.NS,True,,615.8,4732.91,11187.38,329.0
BLAL,NSE,BLAL.NS,True,,164.26,45.92,688.4,724.0
BLISSGVS,NSE,BLISSGVS.NS,True,,210.23,8944.65,2225.5,3865.0
BLKASHYAP,NSE,BLKASHYAP.NS,True,,49.4,363.03,1113.88,4938.0
BLS,NSE,BLS.NS,True,,240.6,6563.57,9905.29,2414.0
BLSE,NSE,BLSE.NS,True,,144.35,583.13,1308.59,526.0
BLUEDART,NSE,BLUEDART.NS,True,,5101.5,1371.6,12104.81,5890.0
BLUEJET,NSE,BLUEJET.NS,True,,357.95,2331.41,6209.2,590.0
BLUESTARCO,NSE,BLUESTARCO.NS,True,,1708.6,7677.71,35127.25,5890.0
BODALCHEM,NSE,BODALCHEM.NS,True,,54.65,124.77,688.28,3595.0
BOMDYEING,NSE,BOMDYEING.NS,True,,103.16,806.63,2130.61,7585.0
BOROLTD,NSE,BOROLTD.NS,True,,222.01,456.72,2654.84,1405.0
BORORENEW,NSE,BORORENEW.NS,True,,420.9,1784.17,5900.55,1933.0
BOROSCI,NSE,BOROSCI.NS,True,,104.52,99.74,931.23,440.0
BOSCHLTD,NSE,BOSCHLTD.NS,True,,30390.0,7946.93,89656.92,5892.0
BPCL,NSE,BPCL.NS,True,,287.8,24501.8,124862.18,7584.0
BPL,NSE,BPL.NS,True,,47.1,47.61,230.68,5890.0
BRIGADE,NSE,BRIGADE.NS,True,,643.9,2342.43,15749.37,4494.0
BRITANNIA,NSE,BRITANNIA.NS,True,,5618.5,18344.04,135331.85,7587.0
BRNL,NSE,BRNL.NS,True,,18.83,17.15,158.08,2103.0
BROOKS,NSE,BROOKS.NS,True,,52.64,43.68,155.28,3586.0
BSE,NSE,BSE.NS,True,,2806.1,123930.57,113963.88,2256.0
BSHSL,NSE,BSHSL.NS,True,,78.43,26.77,823.02,1942.0
BSOFT,NSE,BSOFT.NS,True,,358.05,5573.64,10007.01,5894.0
BTML,NSE,BTML.NS,True,,6.47,31.93,116.78,1323.0
BUTTERFLY,NSE,BUTTERFLY.NS,True,,640.85,543.55,1145.81,2936.0
BVCL,NSE,BVCL.NS,True,,39.44,16.54,87.71,4517.0
BYKE,NSE,BYKE.NS,True,,32.88,36.6,171.89,3508.0
CAMLINFINE,NSE,CAMLINFINE.NS,True,,118.71,852.16,2280.32,2757.0
CAMPUS,NSE,CAMPUS.NS,True,,225.0,769.39,6875.85,959.0
CAMS,NSE,CAMS.NS,True,,640.7,7763.57,15898.64,1353.0
CANBK,NSE,CANBK.NS,True,,136.44,35650.72,123759.97,5765.0
CANFINHOME,NSE,CANFINHOME.NS,True,,820.3,1618.58,10925.57,5890.0
CANTABIL,NSE,CANTABIL.NS,True,,237.05,557.75,1982.64,3809.0
CAPACITE,NSE,CAPACITE.NS,True,,223.88,1745.91,1902.68,2098.0
CAPITALSFB,NSE,CAPITALSFB.NS,True,,240.05,63.04,1090.28,519.0
CAPLIPOINT,NSE,CAPLIPOINT.NS,True,,1604.1,1191.8,12213.6,2898.0
CARBORUNIV,NSE,CARBORUNIV.NS,True,,756.95,1343.12,14420.28,5891.0
CARERATING,NSE,CARERATING.NS,True,,1537.7,701.84,4620.33,3266.0
CARRARO,NSE,CARRARO.NS,True,,441.95,393.82,2512.55,305.0
CARTRADE,NSE,CARTRADE.NS,True,,1696.9,8028.72,8126.9,1135.0
CARYSIL,NSE,CARYSIL.NS,True,,781.65,722.43,2223.96,1282.0
CASTROLIND,NSE,CASTROLIND.NS,True,,187.34,5556.29,18530.22,5863.0
CCCL,NSE,CCCL.NS,True,,14.97,50.32,668.8,4543.0
CCL,NSE,CCL.NS,True,,1087.6,3281.4,14486.62,5387.0
CDSL,NSE,CDSL.NS,True,,1190.8,20466.31,24887.72,2157.0
CEATLTD,NSE,CEATLTD.NS,True,,3537.5,5137.66,14270.81,4470.0
CEIGALL,NSE,CEIGALL.NS,True,,270.5,1005.52,4713.32,398.0
