Symbol,Sector,Historical Score,Peer Score,Quality Score,Promoter Holding %,FII + DII %,Final Score
JKCEMENT,Construction Materials,26.0,31.0,12,45.66,40.38,69.0
SARDAEN,Metals & Mining,34.0,18.0,17,73.16,6.47,69.0
APLAPOLLO,Capital Goods,34.0,24.0,11,28.27,53.03,69.0
INNOVANA,Information Technology,25.0,29.0,15,72.65,2.2,69.0
POWERMECH,Construction,31.0,24.0,14,58.33,27.09,69.0
DLINKINDIA,Information Technology,29.0,24.0,16,51.02,1.14,69.0
CCL,Fast Moving Consumer Goods,30.0,25.0,14,46.11,32.54,69.0
LGBBROSLTD,Automobile and Auto Components,30.0,26.0,13,34.82,19.87,69.0
KAYCEEI,Capital Goods,24.8,29.0,15,71.7,0.02,68.8
PNGJL,Consumer Durables,25.6,27.0,16,83.11,5.55,68.6
AADHARHFC,Financial Services,24.8,30.7,13,75.19,14.64,68.5
CAMS,Financial Services,30.4,27.0,11,0.0,66.65,68.4
PFC,Financial Services,36.0,21.3,11,55.99,33.81,68.3
MAYURUNIQ,Consumer Durables,24.0,28.0,16,58.59,6.55,68.0
RKFORGE,Automobile and Auto Components,35.0,22.0,11,43.12,25.08,68.0
CHOICEIN,Financial Services,28.0,30.0,10,53.66,12.46,68.0
CYBERTECH,Information Technology,33.0,20.0,15,36.51,0.04,68.0
ASTRAL,Capital Goods,29.0,24.0,15,54.22,34.4,68.0
GRAUWEIL,Chemicals,27.0,24.0,17,69.03,0.61,68.0
GLAXO,Healthcare,25.0,27.0,16,75.0,12.33,68.0
GRAVITA,Metals & Mining,33.0,24.0,11,55.88,20.46,68.0
MMP,Metals & Mining,30.0,22.0,16,74.48,0.01,68.0
GPTINFRA,Construction,28.0,23.0,17,69.37,9.68,68.0
SPAL,Textiles,26.0,28.0,14,61.93,20.55,68.0
CAMPUS,Consumer Durables,18.4,35.4,14,72.11,17.86,67.8
TIINDIA,Automobile and Auto Components,34.0,22.7,11,44.06,42.83,67.7
BASF,Chemicals,26.4,26.0,15,73.33,10.55,67.4
ZEAL,Services,27.2,28.0,12,73.4,2.19,67.2
KPITTECH,Information Technology,30.4,26.7,10,39.41,38.92,67.1
AHLUCONT,Construction,30.0,24.0,13,55.32,36.9,67.0
TALBROAUTO,Automobile and Auto Components,31.0,20.0,16,58.43,0.7,67.0
DMART,Consumer Services,27.0,24.0,16,74.65,17.54,67.0
ALLDIGI,Services,27.0,24.0,16,73.39,2.94,67.0
SHARDACROP,Chemicals,26.0,27.0,14,74.82,14.15,67.0
AIRAN,Information Technology,29.0,25.0,13,72.21,0.13,67.0
PHOENIXLTD,Realty,31.0,24.0,12,47.25,49.11,67.0
SIYSIL,Textiles,24.0,27.0,16,67.44,5.16,67.0
